,date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
1309193,2022-03-17,US_IL_17155,,,0.0,3298.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1309604,2021-12-24,US_IL_17157,,,0.0,15621.0,,,,,,,,,,,,,,,,,,,,,,,,,,
884587,2021-03-15,PL_30_23,0.0,,0.0,2673.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1242695,2021-12-13,US_IA_19177,,,0.0,2830.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1741645,2021-10-06,US_MT_30067,,,6.0,8491.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1760340,2022-08-15,US_NC_37027,,,0.0,39861.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1089368,2022-07-27,US_FL_12031,,,0.0,590758.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129574,2022-02-27,AR_J_119,0.0,2927.0,1.0,2653.0,1.0,5580.0,,,,,,,,,,,,,,,,,,,,,,,,
208054,2021-04-28,AR_W_091,26.0,1619.0,0.0,74.0,26.0,1693.0,,,,,,,,,,,,,,,,,,,,,,,,
2162104,2021-06-12,US_SD_46047,,,2.0,2501.0,,,,,,,,,,,,,,,,,,,,,,,,,,
764598,2021-05-17,PL_10_21,40.0,10937.0,0.0,4965.0,40.0,15902.0,,,,,,,,,,,,,,,,,,,,,,,,
1544074,2021-11-30,US_MI_26013,,,24.0,4650.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1348238,2021-12-22,US_IN_18107,,,14.0,16691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1183839,2022-08-09,US_GA_13279,,,0.0,11390.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1352002,2021-06-17,US_IN_18123,,,36.0,7788.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1283215,2021-05-31,US_IL_17051,,,0.0,4270.0,,,,,,,,,,,,,,,,,,,,,,,,,,
441684,2020-03-16,IL_D_2630,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1748579,2021-10-24,US_MT_30095,,,10.0,3674.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2392096,2022-06-07,US_VA_51079,,,0.0,9068.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2056437,2021-05-14,US_PA_42019,,,737.0,76907.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2041669,2021-10-17,US_OR_41033,,,57.0,40367.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2275403,2021-05-08,US_TX_48177,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1657266,2021-07-11,US_MO_29127,,,5.0,9006.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1746776,2022-04-15,US_MT_30087,,,0.0,7550.0,,,,,,,,,,,,,,,,,,,,,,,,,,
730595,2022-03-10,PL_04_15,2.0,44286.0,16.0,35489.0,31.0,97235.0,,,,,,,,,,,,,,,,,,,,,,,,
2267394,2022-06-01,US_TX_48143,,,3.0,16403.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2466937,2021-12-23,US_WI,5771.0,3947193.0,4286.0,3589791.0,36572.0,8977213.0,,,3352.0,2006531.0,22014.0,5174586.0,,,674.0,1291987.0,14014.0,3480791.0,,,254.0,290700.0,527.0,320108.0,,,,,,
1160618,2022-08-06,US_GA_13183,,,0.0,4269.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33327,2022-02-20,AR_B_322,2.0,5086.0,0.0,4768.0,2.0,9854.0,,,,,,,,,,,,,,,,,,,,,,,,
2478908,2022-04-14,US_WI_55047,,,8.0,10562.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2181044,2021-11-27,US_SD_46123,,,0.0,2282.0,,,,,,,,,,,,,,,,,,,,,,,,,,
811626,2021-05-05,PL_18_13,30.0,,0.0,2101.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,
1272029,2021-11-23,US_IL_17005,,,5.0,8183.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1881468,2022-01-13,US_NH_33019,,,20.0,26464.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1912737,2021-08-02,US_NV_32011,,,0.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1259519,2021-09-28,US_ID_16045,,,0.0,5849.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1838243,2021-08-23,US_NE_31033,,,0.0,3111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2249993,2022-02-10,US_TX_48073,,,16.0,20249.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1863256,2022-07-02,US_NE_31133,,,0.0,1147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43054,2021-12-29,AR_B_455,43.0,8132.0,8.0,7463.0,51.0,15595.0,,,,,,,,,,,,,,,,,,,,,,,,
556599,2021-09-07,IL_WE_3647,0.0,1452.0,0.0,1356.0,0.0,2808.0,,,,,,,,,,,,,,,,,,,,,,,,
1149825,2021-06-13,US_GA_13141,,,0.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
621203,2020-09-11,IL_Z_0542,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
389927,2022-05-15,FR_OCC_34,8.0,923163.0,12.0,911819.0,20.0,1834982.0,,,,,,,,,,,,,,,,,,,,,,,,
1067800,2021-06-14,US_CO_08103,,,0.0,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2328204,2022-07-19,US_TX_48389,,,0.0,12141.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1723511,2022-06-11,US_MS_28159,,,4.0,8677.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1091840,2022-07-29,US_FL_12041,,,0.0,6899.0,,,,,,,,,,,,,,,,,,,,,,,,,,
957508,2022-07-08,US_AL_01099,,,0.0,9128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1744186,2021-12-16,US_MT_30077,,,2.0,2975.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2209542,2022-07-21,US_TN_47101,,,2.0,4406.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1584021,2021-06-12,US_MN_27007,,,89.0,19580.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2072678,2022-07-21,US_PA_42083,,,31.0,20551.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1362049,2021-12-01,US_IN_18163,,,34.0,97788.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1698179,2022-01-24,US_MS_28057,,,0.0,7904.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1483706,2021-06-05,US_LA_22015,,,119.0,33841.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191470,2021-07-01,AR_T_056,264.0,11498.0,46.0,2356.0,310.0,13854.0,,,,,,,,,,,,,,,,,,,,,,,,
2471128,2022-08-16,US_WI_55015,,,0.0,28544.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1695347,2022-06-05,US_MS_28045,,,1.0,21344.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2082660,2021-06-24,US_PA_42125,,,311.0,97647.0,,,,,,,,,,,,,,,,,,,,,,,,,,
342248,2022-04-18,FR_BFC_70,0.0,184067.0,0.0,182215.0,0.0,366282.0,,,,,,,,,,,,,,,,,,,,,,,,
1033457,2022-05-20,US_CA_06083,,,55.0,319389.0,,,,,,,,,,,,,,,,,,,,,,,,,,
584288,2022-05-04,IL_Z_0122,0.0,6646.0,0.0,6446.0,0.0,13092.0,,,,,,,,,,,,,,,,,,,,,,,,
294576,2022-01-27,CH_VD,86.0,575356.0,122.0,567911.0,2544.0,1419577.0,,,,,,,,,,,,,,,,,,,,,,,,
1616033,2022-07-13,US_MN_27135,,,0.0,7919.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1332154,2022-07-28,US_IN_18041,,,8.0,9577.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2073079,2022-04-19,US_PA_42085,,,7.0,58308.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2069673,2022-06-10,US_PA_42071,,,169.0,329093.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1470160,2022-06-30,US_KY_21201,,,0.0,818.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2265850,2022-03-31,US_TX_48137,,,0.0,1622.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1675076,2021-08-06,US_MO_29201,,,25.0,12690.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1824058,2022-04-25,US_ND_38083,,,0.0,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2007375,2021-07-05,US_OK_40051,,,0.0,14752.0,,,,,,,,,,,,,,,,,,,,,,,,,,
342335,2022-07-14,FR_BFC_70,1.0,184252.0,0.0,182429.0,1.0,366681.0,,,,,,,,,,,,,,,,,,,,,,,,
364613,2021-09-23,FR_HDF_62,715.0,1131100.0,1769.0,1094313.0,2484.0,2225413.0,,,,,,,,,,,,,,,,,,,,,,,,
2509047,2022-01-05,US_WV_54023,,,6.0,4966.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1846495,2022-08-06,US_NE_31065,,,0.0,2117.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1765873,2021-07-16,US_NC_37051,,,363.0,150199.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1092298,2022-06-23,US_FL_12043,,,8.0,4738.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1492581,2021-05-19,US_LA_22051,,,574.0,163060.0,,,,,,,,,,,,,,,,,,,,,,,,,,
929774,2021-11-28,US_AK_02230,,,0.0,801.0,,,,,,,,,,,,,,,,,,,,,,,,,,
821976,2021-07-04,PL_20_08,13.0,10774.0,134.0,8428.0,147.0,19202.0,,,,,,,,,,,,,,,,,,,,,,,,
479999,2022-05-25,IL_JM_2610,1.0,56107.0,1.0,45490.0,2.0,101597.0,,,,,,,,,,,,,,,,,,,,,,,,
452454,2022-02-19,IL_HA_0652,1.0,1833.0,0.0,1636.0,1.0,3469.0,,,,,,,,,,,,,,,,,,,,,,,,
759974,2022-02-17,PL_10_11,11.0,21886.0,18.0,19755.0,113.0,51875.0,,,,,,,,,,,,,,,,,,,,,,,,
2184371,2022-08-16,US_TN,0.0,4313470.0,0.0,3773334.0,0.0,10403834.0,,,0.0,2182390.0,0.0,6075484.0,,,0.0,1338049.0,0.0,3987026.0,,,0.0,238675.0,0.0,268356.0,,,,,,
2082617,2021-05-12,US_PA_42125,,,1036.0,77349.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1360862,2021-05-16,US_IN_18159,,,11.0,4179.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1076609,2022-04-17,US_CT_09009,,,307.0,663242.0,,,,,,,,,,,,,,,,,,,,,,,,,,
324052,2022-08-06,EE,28.0,864754.0,25.0,844064.0,159.0,2007679.0,,,,,,,,,,,,,,,,,,,,,,,,
247064,2021-07-30,BD,544784.0,7428061.0,0.0,4306386.0,544784.0,11734447.0,,,,,,,,,,,,,,,,,,,,,,,,
784492,2022-03-07,PL_14_13,0.0,37332.0,0.0,33454.0,10.0,88153.0,,,,,,,,,,,,,,,,,,,,,,,,
226111,2022-04-10,AR_Y,0.0,287220.0,5.0,248820.0,5.0,536040.0,,,,,,,,,,,,,,,,,,,,,,,,
1708215,2022-06-29,US_MS_28097,,,0.0,5487.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111731,2021-08-26,AR_H_007,46.0,7540.0,138.0,3208.0,184.0,10748.0,,,,,,,,,,,,,,,,,,,,,,,,
1487122,2022-09-15,US_LA_22027,,,0.0,6503.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1484419,2022-01-10,US_LA_22017,,,70.0,110987.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1835972,2022-03-10,US_NE_31023,,,1.0,4089.0,,,,,,,,,,,,,,,,,,,,,,,,,,
383758,2022-08-24,FR_NOR_50,3.0,422206.0,1.0,418207.0,4.0,840413.0,,,,,,,,,,,,,,,,,,,,,,,,
1511705,2022-05-06,US_LA_22127,,,4.0,6644.0,,,,,,,,,,,,,,,,,,,,,,,,,,
255249,2022-02-19,BR_AM,8280.0,2994436.0,3456.0,2415373.0,11736.0,5409809.0,,,,,,,,,,,,,,,,,,,,,,,,
2016438,2021-12-23,US_OK_40087,,,19.0,18460.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2069871,2021-08-18,US_PA_42073,,,23.0,35850.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2187526,2021-10-14,US_TN_47013,,,38.0,15045.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1376928,2021-10-17,US_KS_20037,,,23.0,16442.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1738518,2021-04-26,US_MT_30055,,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,
640792,2021-09-20,IL_Z_1296,2.0,5868.0,5.0,5004.0,7.0,10872.0,,,,,,,,,,,,,,,,,,,,,,,,
264121,2021-04-26,BR_MT,7981.0,382445.0,7134.0,155630.0,15115.0,538075.0,,,,,,,,,,,,,,,,,,,,,,,,
938291,2022-09-10,US_AL_01021,,,0.0,16459.0,,,,,,,,,,,,,,,,,,,,,,,,,,
687171,2021-05-10,LK,2876.0,931276.0,1641.0,198981.0,4517.0,1130257.0,,,,,,,,,,,,,,,,,,,,,,,,
1460560,2021-11-28,US_KY_21163,,,0.0,9851.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1808713,2022-03-25,US_ND_38021,,,0.0,2559.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1763289,2022-07-31,US_NC_37039,,,0.0,16935.0,,,,,,,,,,,,,,,,,,,,,,,,,,
302935,2021-07-20,CO_47,,,,,563.0,477469.0,,,,,,,,,,,,,,,,,,,,,,,,
304953,2021-03-05,CO_70,,,,,940.0,3513.0,,,,,,,,,,,,,,,,,,,,,,,,
1733946,2022-04-29,US_MT_30035,,,1.0,11743.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67694,2021-09-30,AR_B_805,202.0,115442.0,1158.0,75255.0,1360.0,190697.0,,,,,,,,,,,,,,,,,,,,,,,,
2156117,2022-08-21,US_SD_46021,,,0.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1333206,2021-05-24,US_IN_18047,,,7.0,4666.0,,,,,,,,,,,,,,,,,,,,,,,,,,
152341,2021-12-27,AR_M_098,60.0,51121.0,188.0,42219.0,248.0,93340.0,,,,,,,,,,,,,,,,,,,,,,,,
2060426,2021-06-20,US_PA_42035,,,29.0,12531.0,,,,,,,,,,,,,,,,,,,,,,,,,,
773930,2021-06-08,PL_12_15,5.0,25490.0,218.0,12462.0,223.0,37952.0,,,,,,,,,,,,,,,,,,,,,,,,
2486995,2021-06-07,US_WI_55079,,,1543.0,396937.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1915865,2022-01-13,US_NV_32023,,,25.0,20756.0,,,,,,,,,,,,,,,,,,,,,,,,,,
241179,2021-09-05,AU_ACT,2512.0,333001.0,1918.0,157819.0,4430.0,490820.0,,,,,,,,,,,,,,,,,,,,,,,,
1674217,2021-12-13,US_MO_29197,,,0.0,1248.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1590000,2021-08-02,US_MN_27031,,,0.0,3782.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1026003,2022-04-06,US_CA_06053,,,95.0,313157.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2226283,2022-05-27,US_TN_47169,,,2.0,4189.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1800974,2021-08-12,US_NC_37193,,,0.0,21884.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1146004,2021-10-22,US_GA_13125,,,8.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,
515009,2020-07-19,IL_M_2530,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1199335,2022-04-04,US_IA_19001,,,0.0,3522.0,,,,,,,,,,,,,,,,,,,,,,,,,,
822033,2021-08-30,PL_20_08,17.0,12090.0,1.0,10883.0,18.0,22973.0,,,,,,,,,,,,,,,,,,,,,,,,
1616300,2021-11-28,US_MN_27137,,,0.0,121521.0,,,,,,,,,,,,,,,,,,,,,,,,,,
901270,2021-04-07,PL_32_63,192.0,,1.0,2437.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,
1190225,2022-07-04,US_GA_13305,,,0.0,12723.0,,,,,,,,,,,,,,,,,,,,,,,,,,
625616,2020-04-02,IL_Z_0874,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1222533,2022-03-15,US_IA_19095,,,1.0,10108.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147992,2021-08-06,AR_M_035,8.0,13569.0,173.0,4536.0,181.0,18105.0,,,,,,,,,,,,,,,,,,,,,,,,
1377814,2021-07-07,US_KS_20041,,,2.0,7212.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2173125,2021-11-12,US_SD_46091,,,0.0,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1079666,2021-12-29,US_DE,1005.0,745195.0,595.0,624078.0,3293.0,1578095.0,,,447.0,345789.0,2061.0,905249.0,,,115.0,223272.0,1158.0,612801.0,,,31.0,54439.0,68.0,58220.0,,,,,,
2320788,2022-07-13,US_TX_48359,,,0.0,767.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1402562,2021-08-24,US_KS_20141,,,1.0,1189.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1658077,2022-05-24,US_MO_29129,,,1.0,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1487390,2022-01-17,US_LA_22029,,,0.0,7767.0,,,,,,,,,,,,,,,,,,,,,,,,,,
590730,2022-06-10,IL_Z_0483,0.0,5161.0,0.0,4332.0,0.0,9493.0,,,,,,,,,,,,,,,,,,,,,,,,
1059110,2022-01-02,US_CO_08067,,,0.0,38345.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1335411,2022-01-08,US_IN_18055,,,8.0,12506.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1599479,2021-11-03,US_MN_27069,,,1.0,2250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1537504,2021-10-17,US_ME_23021,,,0.0,9356.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2490867,2022-07-26,US_WI_55093,,,0.0,19119.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2005358,2021-05-25,US_OK_40043,,,0.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1974279,2021-10-19,US_OH_39095,,,89.0,218914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2421794,2022-08-04,US_VA_51540,,,-10.0,24098.0,,,,,,,,,,,,,,,,,,,,,,,,,,
406444,2021-10-20,GB_UKI,7869.0,5977439.0,3817.0,5437234.0,36806.0,11955706.0,,,,,,,,,,,,,,,,,,,,,,,,
1608972,2022-02-18,US_MN_27107,,,4.0,3788.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1065199,2022-06-12,US_CO_08091,,,0.0,3299.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1658407,2021-12-11,US_MO_29131,,,12.0,7995.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62387,2022-05-11,AR_B_728,0.0,10406.0,1.0,9786.0,1.0,20192.0,,,,,,,,,,,,,,,,,,,,,,,,
355065,2021-05-03,FR_GES_10,558.0,82275.0,481.0,40356.0,1039.0,122631.0,,,,,,,,,,,,,,,,,,,,,,,,
1047008,2021-05-01,US_CO_08019,,,14.0,1586.0,,,,,,,,,,,,,,,,,,,,,,,,,,
363932,2021-07-31,FR_HDF_60,4554.0,504306.0,4403.0,411299.0,8957.0,915605.0,,,,,,,,,,,,,,,,,,,,,,,,
310154,2021-12-27,CZ,3866.0,6816682.0,9571.0,6235151.0,63030.0,15295403.0,,,,,,,,,,,,,,,,,,,,,,,,
1055056,2021-09-22,US_CO_08051,,,31.0,10517.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1567837,2022-01-20,US_MI_26109,,,14.0,15875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2329691,2022-07-24,US_TX_48395,,,0.0,7786.0,,,,,,,,,,,,,,,,,,,,,,,,,,
298077,2022-06-05,CN,0.0,,0.0,,708000.0,3385080000.0,,,,,,,,,,,,,,,,,,,,,,,,
527408,2021-12-05,IL_M_8500,27.0,50739.0,6.0,45425.0,33.0,96164.0,,,,,,,,,,,,,,,,,,,,,,,,
2017905,2021-12-08,US_OK_40093,,,1.0,3554.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2519819,2021-10-01,US_WV_54067,,,13.0,7292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
354843,2022-06-12,FR_GES_08,0.0,213682.0,0.0,211514.0,0.0,425196.0,,,,,,,,,,,,,,,,,,,,,,,,
2177517,2021-09-19,US_SD_46107,,,0.0,959.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015343,2021-09-07,US_OK_40083,,,56.0,12959.0,,,,,,,,,,,,,,,,,,,,,,,,,,
972536,2021-06-13,US_AR_05025,,,4.0,2490.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2476374,2022-02-09,US_WI_55037,,,1.0,2325.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1944670,2022-03-03,US_NY_36103,,,831.0,1103329.0,,,,,,,,,,,,,,,,,,,,,,,,,,
780049,2022-02-02,PL_14_04,0.0,16292.0,0.0,15205.0,30.0,39175.0,,,,,,,,,,,,,,,,,,,,,,,,
1453504,2021-07-11,US_KY_21135,,,14.0,3191.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1188819,2021-05-12,US_GA_13301,,,6.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1259521,2021-09-30,US_ID_16045,,,9.0,5875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1392380,2022-03-04,US_KS_20099,,,3.0,9584.0,,,,,,,,,,,,,,,,,,,,,,,,,,
302547,2021-04-16,CO_44,,,,,2856.0,37436.0,,,,,,,,,,,,,,,,,,,,,,,,
1791597,2021-08-21,US_NC_37155,,,147.0,35558.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1891789,2021-08-10,US_NJ_34039,,,0.0,295835.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1113464,2022-04-08,US_FL_12127,,,94.0,328698.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1105627,2022-06-14,US_FL_12095,,,7.0,974686.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1439054,2022-07-16,US_KY_21075,,,0.0,3561.0,,,,,,,,,,,,,,,,,,,,,,,,,,
619396,2020-10-04,IL_Z_0536,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
40568,2021-08-28,AR_B_420,25.0,27162.0,146.0,14629.0,171.0,41791.0,,,,,,,,,,,,,,,,,,,,,,,,
2458462,2022-01-16,US_WA_53045,,,130.0,38635.0,,,,,,,,,,,,,,,,,,,,,,,,,,
681225,2021-05-10,IT_82,16178.0,1163957.0,12225.0,537078.0,28750.0,1717278.0,,,,,,,,,,,,,,,,,,,,,,,,
1668332,2022-01-25,US_MO_29171,,,6.0,1526.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2339220,2021-08-07,US_TX_48435,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
156084,2022-02-18,AR_N_021,16.0,11980.0,27.0,9729.0,43.0,21709.0,,,,,,,,,,,,,,,,,,,,,,,,
877100,2022-03-05,PL_30_07,3.0,38076.0,15.0,34253.0,33.0,87593.0,,,,,,,,,,,,,,,,,,,,,,,,
1406077,2021-10-20,US_KS_20155,,,24.0,27864.0,,,,,,,,,,,,,,,,,,,,,,,,,,
487138,2021-11-25,IL_M_0168,16.0,18291.0,6.0,17498.0,22.0,35789.0,,,,,,,,,,,,,,,,,,,,,,,,
1993980,2021-08-21,US_OH_39175,,,14.0,8445.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1507600,2021-12-04,US_LA_22111,,,11.0,9346.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1122716,2021-08-13,US_GA_13029,,,6.0,10468.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1542924,2021-06-21,US_MI_26009,,,30.0,11151.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2438329,2021-11-16,US_VA_51840,,,1.0,11571.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1907269,2021-10-11,US_NM_35053,,,0.0,8906.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2221533,2021-07-27,US_TN_47151,,,0.0,5839.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21795,2021-08-02,AR_B_161,13.0,4479.0,7.0,1807.0,20.0,6286.0,,,,,,,,,,,,,,,,,,,,,,,,
282621,2022-03-02,CH_BE,11.0,735070.0,66.0,728443.0,427.0,1965913.0,,,,,,,,,,,,,,,,,,,,,,,,
550850,2020-12-22,IL_WE_3616,171.0,251.0,0.0,0.0,171.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,
742963,2021-03-01,PL_06_17,0.0,,0.0,1777.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1583518,2021-06-03,US_MN_27005,,,21.0,13614.0,,,,,,,,,,,,,,,,,,,,,,,,,,
669959,2021-05-28,IN_TG,79332.0,4573867.0,21179.0,1229488.0,100511.0,5803355.0,,,,,,,,,,,,,,,,,,,,,,,,
1041406,2022-07-04,US_CA_06115,,,0.0,43355.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2544952,2022-02-24,ZW,3629.0,4351621.0,3344.0,3384590.0,11480.0,7858794.0,,,,,,,,,,,,,,,,,,,,,,,,
85522,2022-03-13,AR_E,3.0,507147.0,14.0,446443.0,17.0,953590.0,,,,,,,,,,,,,,,,,,,,,,,,
1356405,2021-05-05,US_IN_18141,,,2044.0,88814.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1131381,2022-05-07,US_GA_13065,,,0.0,2652.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2129226,2022-05-02,US_SC_45005,,,0.0,5062.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1393538,2022-08-21,US_KS_20103,,,0.0,49239.0,,,,,,,,,,,,,,,,,,,,,,,,,,
629855,2021-11-02,IL_Z_0975,2.0,5006.0,7.0,4545.0,9.0,9551.0,,,,,,,,,,,,,,,,,,,,,,,,
554874,2021-12-21,IL_WE_3640,46.0,6539.0,128.0,5872.0,174.0,12411.0,,,,,,,,,,,,,,,,,,,,,,,,
1129387,2022-04-19,US_GA_13057,,,109.0,128311.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1026638,2022-09-09,US_CA_06055,,,0.0,109572.0,,,,,,,,,,,,,,,,,,,,,,,,,,
