,date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
1382688,2021-05-02,US_KS_20061,,,0.0,7498.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1018550,2022-02-22,US_CA_06023,,,102.0,88003.0,,,,,,,,,,,,,,,,,,,,,,,,,,
743031,2021-05-10,PL_06_17,122.0,12177.0,0.0,4908.0,122.0,17085.0,,,,,,,,,,,,,,,,,,,,,,,,
2408865,2022-05-11,US_VA_51153,,,71.0,343844.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1010359,2021-08-23,US_AZ_04021,,,489.0,186503.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1043192,2021-09-14,US_CO_08005,,,444.0,368271.0,,,,,,,,,,,,,,,,,,,,,,,,,,
363413,2021-11-16,FR_HDF_59,950.0,1946769.0,1000.0,1908853.0,1950.0,3855622.0,,,,,,,,,,,,,,,,,,,,,,,,
843442,2021-03-30,PL_24_13,221.0,,0.0,8607.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,
733000,2022-01-24,PL_04_61,16.0,262989.0,18.0,222104.0,220.0,622051.0,,,,,,,,,,,,,,,,,,,,,,,,
1218089,2022-03-17,US_IA_19077,,,1.0,6196.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2036277,2021-11-28,US_OR_41011,,,0.0,34632.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1999175,2022-01-19,US_OK_40017,,,539.0,82866.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1330748,2021-06-05,US_IN_18037,,,107.0,16806.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1303984,2021-06-21,US_IL_17135,,,17.0,9376.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1881812,2021-05-08,US_NJ,29607.0,4784711.0,60991.0,3592009.0,84774.0,7858549.0,,,37208.0,1864580.0,47657.0,4176079.0,,,19929.0,1426930.0,33259.0,3383758.0,,,3853.0,300471.0,3858.0,298237.0,,,,,,
2331769,2021-06-27,US_TX_48405,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
440711,2022-07-21,IL_D_2560,0.0,20160.0,0.0,18293.0,0.0,38453.0,,,,,,,,,,,,,,,,,,,,,,,,
2201622,2022-07-05,US_TN_47069,,,0.0,11835.0,,,,,,,,,,,,,,,,,,,,,,,,,,
83294,2021-12-12,AR_D_035,1.0,49506.0,0.0,46574.0,1.0,96080.0,,,,,,,,,,,,,,,,,,,,,,,,
1652716,2022-08-05,US_MO_29107,,,0.0,15181.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1010307,2021-07-02,US_AZ_04021,,,453.0,168954.0,,,,,,,,,,,,,,,,,,,,,,,,,,
935692,2022-04-19,US_AL_01011,,,0.0,5383.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2228515,2021-10-01,US_TN_47179,,,82.0,66442.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1172473,2022-08-05,US_GA_13233,,,0.0,16778.0,,,,,,,,,,,,,,,,,,,,,,,,,,
846239,2022-03-14,PL_24_61,0.0,135330.0,0.0,116451.0,0.0,319255.0,,,,,,,,,,,,,,,,,,,,,,,,
199195,2021-11-20,AR_U_077,22.0,37787.0,33.0,27916.0,55.0,65703.0,,,,,,,,,,,,,,,,,,,,,,,,
522705,2021-07-30,IL_M_7200,5.0,34226.0,97.0,32736.0,102.0,66962.0,,,,,,,,,,,,,,,,,,,,,,,,
264229,2021-08-12,BR_MT,22368.0,1655262.0,9930.0,554700.0,32298.0,2209962.0,,,,,,,,,,,,,,,,,,,,,,,,
1897087,2022-04-21,US_NM_35013,,,52.0,164155.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1381830,2021-09-09,US_KS_20057,,,4.0,11150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
496673,2020-06-13,IL_M_0587,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
724710,2022-03-05,PL_04_03,2.0,46459.0,24.0,42100.0,103.0,113864.0,,,,,,,,,,,,,,,,,,,,,,,,
2383438,2021-09-20,US_VA_51043,,,8.0,6847.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1061174,2022-03-31,US_CO_08075,,,3.0,8511.0,,,,,,,,,,,,,,,,,,,,,,,,,,
830425,2021-10-31,PL_22_07,2.0,37237.0,2.0,31600.0,4.0,68837.0,,,,,,,,,,,,,,,,,,,,,,,,
1708273,2022-09-10,US_MS_28097,,,0.0,5524.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1498395,2022-06-03,US_LA_22073,,,13.0,69909.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1025045,2022-05-06,US_CA_06049,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
725043,2021-09-29,PL_04_04,66.0,22607.0,12.0,19859.0,78.0,42466.0,,,,,,,,,,,,,,,,,,,,,,,,
798420,2021-05-29,PL_14_65,10662.0,948649.0,12115.0,430660.0,22777.0,1379309.0,,,,,,,,,,,,,,,,,,,,,,,,
1175440,2022-08-08,US_GA_13245,,,0.0,101445.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1443906,2022-04-19,US_KY_21095,,,1.0,12053.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1806832,2022-06-28,US_ND_38013,,,0.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,
971270,2022-01-15,US_AR_05019,,,0.0,10466.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1311110,2022-01-17,US_IL_17163,,,0.0,155992.0,,,,,,,,,,,,,,,,,,,,,,,,,,
740017,2021-02-23,PL_06_11,80.0,,0.0,1585.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,
1434229,2021-07-02,US_KY_21057,,,1.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1898275,2021-07-01,US_NM_35019,,,1.0,1009.0,,,,,,,,,,,,,,,,,,,,,,,,,,
429528,2021-12-30,IL_D_1098,0.0,1767.0,3.0,1594.0,3.0,3361.0,,,,,,,,,,,,,,,,,,,,,,,,
171020,2021-04-14,AR_Q_077,8.0,460.0,0.0,68.0,8.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,
1381626,2022-06-26,US_KS_20055,,,0.0,18506.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1489770,2021-10-19,US_LA_22039,,,5.0,11249.0,,,,,,,,,,,,,,,,,,,,,,,,,,
566457,2021-02-12,IL_WE_3750,13.0,4588.0,98.0,2752.0,111.0,7340.0,,,,,,,,,,,,,,,,,,,,,,,,
520541,2020-08-30,IL_M_6900,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1720301,2021-10-08,US_MS_28147,,,20.0,5001.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1209077,2021-11-17,US_IA_19041,,,2.0,7736.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1973927,2022-03-10,US_OH_39093,,,75.0,195451.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1540991,2021-08-03,US_MI_26001,,,0.0,5046.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1330122,2022-06-02,US_IN_18033,,,0.0,18574.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2147952,2022-03-17,US_SC_45081,,,4.0,6170.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2268847,2022-05-03,US_TX_48149,,,1.0,12714.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1356370,2022-08-07,US_IN_18139,,,0.0,7991.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1045406,2022-05-10,US_CO_08013,,,60.0,256630.0,,,,,,,,,,,,,,,,,,,,,,,,,,
355593,2021-01-24,FR_GES_51,139.0,11059.0,1.0,57.0,140.0,11116.0,,,,,,,,,,,,,,,,,,,,,,,,
422782,2021-01-23,IL_D_0831,45.0,3422.0,21.0,1873.0,66.0,5295.0,,,,,,,,,,,,,,,,,,,,,,,,
234738,2021-08-25,AR_Z_028,9.0,5897.0,49.0,3128.0,58.0,9025.0,,,,,,,,,,,,,,,,,,,,,,,,
2102774,2022-03-01,US_PR_72067,,,6.0,12425.0,,,,,,,,,,,,,,,,,,,,,,,,,,
675114,2021-02-16,IT_42,1990.0,50804.0,437.0,39322.0,2436.0,90256.0,,,,,,,,,,,,,,,,,,,,,,,,
1835852,2021-11-10,US_NE_31023,,,0.0,3724.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1556320,2021-08-18,US_MI_26063,,,6.0,14235.0,,,,,,,,,,,,,,,,,,,,,,,,,,
798950,2021-07-08,PL_16,1111.0,412549.0,5610.0,346357.0,6721.0,758906.0,,,,,,,,,,,,,,,,,,,,,,,,
1931161,2021-09-13,US_NY_36049,,,0.0,11568.0,,,,,,,,,,,,,,,,,,,,,,,,,,
790514,2021-03-22,PL_14_26,0.0,,0.0,1929.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1308147,2022-01-18,US_IL_17151,,,3.0,1356.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1702589,2021-12-19,US_MS_28075,,,3.0,35337.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67728,2021-11-03,AR_B_805,215.0,138828.0,1319.0,99058.0,1534.0,237886.0,,,,,,,,,,,,,,,,,,,,,,,,
2373348,2022-07-01,US_VA_51001,,,0.0,23952.0,,,,,,,,,,,,,,,,,,,,,,,,,,
